species	habitat	taxonomic.class	tissue	diet.type	source.iso.13C	source.iso.15N	delta13C	delta15N	citation
Meriones_unguiculatus	terrestrial	mammalia	hair	herbivore	-21.8	NA	2.6	NA	"Tieszen, L. L., Boutton, T. W., Tesdahl, K. G., & Slade, N. A. (1983). Fractionation and turnover of stable carbon isotopes in animal tissues: implications for _ 13 C analysis of diet. Oecologia, 57(1), 32-37."
Rattus_sp	terrestrial	mammalia	liver	pellet	-21.1	5.1	0.2	3.4	"Yoneyama, T., Ohta, Y. & Ohtani, T. (1983) Variation of natural 13C and 15N abundances in the rat tissues and their correlation. Radioisotopes, 32, 330-332"
Rattus_sp	terrestrial	mammalia	blood	pellet	-21.1	5.1	0.2	2	"Yoneyama, T., Ohta, Y. & Ohtani, T. (1983) Variation of natural 13C and 15N abundances in the rat tissues and their correlation. Radioisotopes, 32, 330-332"
Rattus_sp	terrestrial	mammalia	blood	pellet	-21.1	5.1	0.7	3.9	"Yoneyama, T., Ohta, Y. & Ohtani, T. (1983) Variation of natural 13C and 15N abundances in the rat tissues and their correlation. Radioisotopes, 32, 330-332"
Rattus_sp	terrestrial	mammalia	muscle	pellet	-21.1	5.1	-0.4	3.1	"Yoneyama, T., Ohta, Y. & Ohtani, T. (1983) Variation of natural 13C and 15N abundances in the rat tissues and their correlation. Radioisotopes, 32, 330-332"
Mus_musculus	terrestrial	mammalia	muscle	pellet	NA	6.1	NA	2.9	"Minagawa, M., & Wada, E. (1984). Stepwise enrichment of 15 N along food chains: further evidence and the relation between _ 15 N and animal age. Geochimica et cosmochimica acta, 48(5), 1135-1140."
Ursus_americanus	terrestrial	mammalia	blood	carnivore	-20.4	11.2	1.4	2.3	"Hilderbrand, G. V., Farley, S. D., Robbins, C. T., Hanley, T. A., Titus, K., & Servheen, C. (1996). Use of stable isotopes to determine diets of living and extinct bears. Canadian Journal of Zoology, 74(11), 2080-2088."
Ursus_americanus	terrestrial	mammalia	blood	carnivore	-25.5	7	3.9	3.5	"Hilderbrand, G. V., Farley, S. D., Robbins, C. T., Hanley, T. A., Titus, K., & Servheen, C. (1996). Use of stable isotopes to determine diets of living and extinct bears. Canadian Journal of Zoology, 74(11), 2080-2088."
Ursus_americanus	terrestrial	mammalia	blood	herbivore	-24.1	2.8	3.3	3.8	"Hilderbrand, G. V., Farley, S. D., Robbins, C. T., Hanley, T. A., Titus, K., & Servheen, C. (1996). Use of stable isotopes to determine diets of living and extinct bears. Canadian Journal of Zoology, 74(11), 2080-2088."
Ursus_americanus	terrestrial	mammalia	blood	omnivore	-21	9.5	2.7	4.5	"Hilderbrand, G. V., Farley, S. D., Robbins, C. T., Hanley, T. A., Titus, K., & Servheen, C. (1996). Use of stable isotopes to determine diets of living and extinct bears. Canadian Journal of Zoology, 74(11), 2080-2088."
